fieldgoal	fieldgoalattempt	fgpct	3pt	3pa	3ptrate	fthrw	fta	ftpct	orb	drb	trb	ast	stl	blk	tov	pfoul	pts	 	W/L
38	97	0.392	9	33	0.273	16	22	0.727	14	38	52	16	4	5	16	28	101	19191	 00-01 
38	97	0.392	12	35	0.343	25	34	0.735	22	33	55	25	6	5	16	26	113	20409	 01-01 
41	89	0.461	11	34	0.324	19	27	0.704	12	37	49	21	4	11	15	27	112	19600	 01-02 
39	82	0.476	13	29	0.448	19	28	0.679	4	47	51	24	7	5	13	15	110	19600	 02-02 
44	96	0.458	15	39	0.385	17	26	0.654	16	40	56	21	7	8	12	21	120	19600	 03-02 
38	92	0.413	13	39	0.333	24	34	0.706	13	39	52	20	10	9	18	21	113	19600	 03-03 
41	87	0.471	11	28	0.393	20	24	0.833	10	24	34	25	9	5	15	26	113	14117	 03-04 
41	85	0.482	16	40	0.4	20	26	0.769	13	28	41	27	6	6	17	20	118	16303	 03-05 
44	98	0.449	12	31	0.387	20	31	0.645	9	41	50	24	10	8	17	26	120	14148	 04-05 
36	93	0.387	10	32	0.313	13	18	0.722	14	46	60	21	8	11	13	17	95	19600	 05-05 
36	80	0.45	14	27	0.519	16	27	0.593	9	29	38	27	6	6	23	27	102	19600	 05-06 
39	88	0.443	12	33	0.364	20	26	0.769	14	24	38	25	5	5	19	31	110	19600	 05-07 
37	77	0.481	13	31	0.419	27	33	0.818	8	32	40	19	5	6	15	30	114	19600	 05-08 
46	85	0.541	8	29	0.276	20	28	0.714	6	41	47	23	6	6	17	27	120	13317	 06-08 
35	93	0.376	14	36	0.389	7	10	0.7	13	38	51	21	10	5	16	16	91	17923	 06-09 
35	87	0.402	13	32	0.406	14	19	0.737	12	36	48	20	3	5	12	21	97	19686	 06-10 
36	100	0.36	7	32	0.219	13	20	0.65	18	34	52	18	5	6	14	24	92	19600	 06-11 
37	87	0.425	10	34	0.294	19	31	0.613	10	38	48	20	10	11	14	21	103	20935	 07-11 
39	95	0.411	15	36	0.417	22	32	0.688	17	29	46	21	6	5	7	22	115	19800	 07-12 
40	87	0.46	13	38	0.342	20	30	0.667	11	32	43	22	20	3	20	25	113	19600	 07-13 
40	93	0.43	11	33	0.333	15	24	0.625	13	33	46	22	10	4	10	24	106	19600	 08-13 
36	91	0.396	13	31	0.419	17	24	0.708	14	36	50	20	8	8	13	16	102	19600	 09-13 
38	91	0.418	12	35	0.343	2	5	0.4	16	31	47	19	7	11	15	19	90	19600	 09-14 
42	86	0.488	15	37	0.405	16	18	0.889	6	34	40	32	10	5	12	16	115	14273	 10-14 
40	92	0.435	13	39	0.333	28	39	0.718	14	43	57	27	9	6	11	24	121	17113	 11-14 
42	94	0.447	11	34	0.324	10	13	0.769	14	36	50	29	9	7	17	19	105	18997	 11-15 
29	77	0.377	12	33	0.364	14	24	0.583	2	28	30	16	10	2	13	22	84	18306	 11-16 
36	82	0.439	15	39	0.385	13	18	0.722	14	36	50	30	3	8	16	20	100	16313	 12-16 
38	91	0.418	10	35	0.286	16	23	0.696	22	35	57	22	6	4	18	21	102	15535	 13-16 
36	93	0.387	9	39	0.231	20	34	0.588	20	41	61	22	6	4	9	18	101	19600	 14-16 
34	89	0.382	10	32	0.313	16	23	0.696	11	46	57	22	9	3	12	18	94	19600	 15-16 
43	85	0.506	16	31	0.516	13	19	0.684	9	30	39	27	11	3	11	26	115	18846	 16-16 
43	83	0.518	12	29	0.414	6	12	0.5	6	29	35	28	10	6	12	17	104	19902	 16-17 
48	91	0.527	10	31	0.323	12	16	0.75	10	35	45	29	8	5	7	21	118	19617	 17-17 
37	90	0.411	8	24	0.333	22	28	0.786	17	35	52	19	8	6	19	28	104	19600	 17-18 
44	86	0.512	16	31	0.516	13	17	0.765	13	34	47	29	8	3	13	13	117	19432	 18-18 
44	91	0.484	9	29	0.31	18	25	0.72	11	37	48	28	7	6	16	18	115	19600	 19-18 
31	87	0.356	5	34	0.147	15	27	0.556	12	29	41	23	11	7	13	17	82	16630	 19-19 
38	83	0.458	8	31	0.258	15	25	0.6	9	29	38	24	9	8	6	18	99	19600	 19-20 
46	96	0.479	18	39	0.462	5	8	0.625	10	41	51	33	7	4	8	18	115	19600	 20-20 
40	80	0.5	15	31	0.484	17	24	0.708	10	28	38	25	7	4	14	23	112	19600	 21-20 
36	86	0.419	8	34	0.235	6	8	0.75	4	39	43	27	2	6	17	14	86	17626	 21-21 
39	77	0.506	10	29	0.345	5	19	0.263	7	38	45	25	3	6	19	20	93	17228	 21-22 
45	79	0.57	13	32	0.406	14	23	0.609	7	39	46	27	5	6	17	23	117	20926	 22-22 
36	86	0.419	11	35	0.314	16	18	0.889	10	28	38	25	11	5	19	16	99	18624	 22-23 
39	83	0.47	8	28	0.286	13	22	0.591	12	28	40	23	3	3	14	19	99	19600	 22-24 
37	79	0.468	9	23	0.391	17	25	0.68	11	36	47	19	6	4	14	18	100	19432	 23-24 
39	84	0.464	12	33	0.364	16	18	0.889	8	39	47	26	6	5	15	24	106	18852	 24-24 
34	89	0.382	12	42	0.286	9	13	0.692	15	32	47	22	6	2	14	20	89	19600	 24-25 
41	92	0.446	11	36	0.306	9	14	0.643	11	36	47	28	7	2	17	17	102	19600	 24-26 
30	71	0.423	9	30	0.3	19	26	0.731	10	33	43	21	8	4	23	19	88	19600	 24-27 
45	83	0.542	7	22	0.318	21	25	0.84	8	38	46	18	11	7	12	15	118	19468	 25-27 
38	88	0.432	11	33	0.333	9	19	0.474	11	38	49	26	6	8	18	21	96	17583	 25-28 
48	105	0.457	18	43	0.419	4	8	0.5	21	31	52	32	6	4	16	22	118	19596	 25-29 
34	82	0.415	9	33	0.273	10	16	0.625	7	40	47	23	10	5	16	16	87	18378	 25-30 
44	81	0.543	12	30	0.4	12	16	0.75	7	40	47	24	8	3	18	20	112	20364	 26-30 
45	94	0.479	6	22	0.273	6	12	0.5	7	33	40	27	11	4	9	28	102	20505	 26-31 
35	82	0.427	7	28	0.25	19	27	0.704	9	24	33	18	6	6	13	22	96	19600	 26-32 
48	97	0.495	9	29	0.31	16	20	0.8	14	30	44	31	10	4	14	20	121	19600	 26-33 
42	83	0.506	18	41	0.439	24	30	0.8	12	36	48	20	4	6	13	31	126	19647	 27-33 
42	81	0.519	15	28	0.536	19	24	0.792	8	26	34	28	9	2	14	22	118	18119	 27-34 
44	90	0.489	14	34	0.412	15	22	0.682	11	46	57	36	5	9	11	19	117	19600	 28-34 
44	79	0.557	9	23	0.391	17	24	0.708	7	33	40	23	9	7	18	24	114	19600	 29-34 
38	90	0.422	9	26	0.346	6	11	0.545	17	34	51	19	10	7	18	16	91	18137	 30-34 
45	79	0.57	12	25	0.48	24	33	0.727	14	31	45	31	5	5	12	15	126	19600	 31-34 
42	92	0.457	8	27	0.296	12	21	0.571	9	27	36	27	13	0	13	22	104	19600	 31-35 
39	84	0.464	11	28	0.393	19	24	0.792	13	38	51	22	10	5	11	18	108	19600	 32-35 
38	93	0.409	8	22	0.364	14	25	0.56	10	35	45	21	7	5	12	18	98	19600	 32-36 
34	86	0.395	13	33	0.394	12	19	0.632	15	40	55	25	6	7	11	21	93	19600	 33-36 
46	97	0.474	9	29	0.31	15	16	0.938	9	35	44	30	13	4	8	23	116	18203	 34-36 
40	86	0.465	16	35	0.457	14	18	0.778	6	42	48	23	6	5	10	21	110	18354	 35-36 
32	85	0.376	11	37	0.297	12	23	0.522	10	30	40	20	7	6	9	18	87	18094	 35-37 
44	88	0.5	12	39	0.308	13	19	0.684	12	32	44	29	5	10	11	23	113	20409	 36-37 
36	86	0.419	10	33	0.303	17	21	0.81	6	33	39	25	10	1	11	22	99	19704	 36-38 
39	89	0.438	7	30	0.233	20	27	0.741	10	45	55	24	7	4	10	22	105	19851	 37-38 
39	90	0.433	9	32	0.281	13	17	0.765	14	37	51	26	11	3	18	21	100	19812	 38-38 
40	88	0.455	10	37	0.27	15	18	0.833	9	39	48	27	9	6	15	17	105	18624	 38-39 
39	95	0.411	12	36	0.333	12	20	0.6	16	31	47	25	6	5	15	23	102	19904	 38-40 
45	88	0.511	10	34	0.294	9	12	0.75	9	29	38	24	10	6	17	23	109	17763	 38-41 
41	100	0.41	13	34	0.382	14	19	0.737	12	43	55	27	5	2	11	22	109	19800	 38-42 
46	87	0.529	13	27	0.481	17	23	0.739	7	37	44	29	6	10	14	18	122	20153	 39-42 
38	98	0.388	8	41	0.195	10	15	0.667	8	46	54	22	9	4	14	12	94	17732	 39-43 
